dir=2023BhAx4RevisedRace
longname=2023 Boot's House Arenacross Rd4 Revised Race
firstlap=13
normallap=23
hash=51461bec66bcbf918f625ab4fd04b5cf23a8bc7b
holeshotindex=1
time=115200
laps=1
starttime=1829
date=1690409065
players:
slot=0
uid=23971
number=78
bike=250sxf(2018)
name=Jakob Hubbard | Phil's
slot=1
uid=29988
number=711
bike=fc450(2018)
name=Yerd | Phil's
times:
0 0 1966
1 0 1967
1 1 2301
0 1 2374
1 2 2608
1 3 2764
1 4 3118
0 2 3344
1 5 3475
0 3 3550
1 6 3718
1 7 3870
0 4 3889
1 8 4073
1 9 4228
0 5 4254
0 6 4454
1 10 4532
0 7 4628
1 11 4758
0 8 4817
1 12 4930
1 13 4931
0 9 4973
0 10 5272
1 14 5515
0 11 5530
0 12 5708
0 13 5709
1 15 5881
1 16 6002
0 14 6165
1 17 6173
1 18 6370
0 15 6532
1 19 6561
0 16 6660
0 17 6816
0 18 6979
0 19 7133
1 20 7267
0 20 7584
1 21 7622
0 21 7809
1 22 8079
0 22 8358
1 23 8350
0 23 8649
1 24 8808
0 24 9007
1 25 9159
0 25 9338
1 26 9344
0 26 9521
1 27 9584
1 28 9719
0 27 9773
1 29 9850
0 28 9926
0 29 10071
1 30 10063
1 31 10219
0 30 10283
1 32 10384
0 31 10453
0 32 10558
1 33 10591
0 33 10839
1 34 10868
1 35 11052
1 36 11053
0 34 11135
0 35 11328
0 36 11329
0 37 11780
0 38 12144
0 39 12257
0 40 12401
0 41 12547
0 42 12684
1 37 12905
1 38 13287
1 39 13404
1 40 13560
1 41 13741
0 43 14043
1 42 14330
0 44 14659
1 43 14732
0 45 15182
0 46 15506
1 44 15533
0 47 15815
1 45 15946
0 48 16141
1 46 16219
0 49 16312
0 50 16528
1 47 16563
0 51 16670
1 48 16904
1 49 17082
1 50 17307
1 51 17434
1 52 17568
1 53 17773
0 52 17871
1 54 17934
0 53 18070
1 55 18105
0 54 18223
1 56 18261
0 55 18332
1 57 18478
1 58 18641
0 56 18662
1 59 18642
0 57 19074
0 58 19308
0 59 19309
1 60 19706
1 61 20124
1 62 20294
1 63 20487
1 64 21684
0 60 21822
1 65 21911
0 61 22156
0 62 22277
0 63 22438
0 64 22616
0 65 22803
1 66 23152
0 66 23479
1 67 23496
0 67 23825
1 68 23933
0 68 24186
1 69 24219
0 69 24404
0 70 24669
1 70 24882
0 71 25000
0 72 25171
1 71 25216
1 72 25392
1 73 25619
1 74 25749
0 73 25817
1 75 25875
0 74 26007
1 76 26103
0 75 26145
1 77 26293
0 76 26326
0 77 26470
1 78 26478
0 78 26611
1 79 26661
0 79 26845
1 80 26907
1 81 27080
1 82 27081
